Alabama,Alabama,4779736
Abbeville city,Alabama,2688
Adamsville city,Alabama,4522
Addison town,Alabama,758
Akron town,Alabama,356
Alabaster city,Alabama,30352
Albertville city,Alabama,21160
Alexander City city,Alabama,14875
Aliceville city,Alabama,2486
Allgood town,Alabama,622
Altoona town,Alabama,933
Andalusia city,Alabama,9015
Anderson town,Alabama,282
Anniston city,Alabama,23106
Arab city,Alabama,8050
Ardmore town,Alabama,1194
Argo town,Alabama,4071
Ariton town,Alabama,764
Arley town,Alabama,357
Ashford town,Alabama,2148
Ashland town,Alabama,2037
Ashville city,Alabama,2212
Athens city,Alabama,21897
Atmore city,Alabama,10194
Attalla city,Alabama,6048
Auburn city,Alabama,53380
Autaugaville town,Alabama,870
Avon town,Alabama,543
Babbie town,Alabama,603
Baileyton town,Alabama,610
Bakerhill town,Alabama,279
Banks town,Alabama,179
Bay Minette city,Alabama,8044
Bayou La Batre city,Alabama,2558
Bear Creek town,Alabama,1070
Beatrice town,Alabama,301
Beaverton town,Alabama,201
Belk town,Alabama,215
Benton town,Alabama,49
Berry town,Alabama,1148
Bessemer city,Alabama,27456
Billingsley town,Alabama,144
Birmingham city,Alabama,212237
Black town,Alabama,207
Blountsville town,Alabama,1684
Blue Springs town,Alabama,96
Boaz city,Alabama,9551
Boligee town,Alabama,328
Bon Air town,Alabama,116
Brantley town,Alabama,809
Brent city,Alabama,4947
Brewton city,Alabama,5408
Bridgeport city,Alabama,2418
Brighton city,Alabama,2945
Brilliant town,Alabama,900
Brookside town,Alabama,1363
Brookwood town,Alabama,1828
Brundidge city,Alabama,2076
Butler town,Alabama,1894
Calera city,Alabama,11620
Camden city,Alabama,2020
Camp Hill town,Alabama,1014
Carbon Hill city,Alabama,2021
Cardiff town,Alabama,55
Carolina town,Alabama,297
Carrollton town,Alabama,1019
Castleberry town,Alabama,583
Cedar Bluff town,Alabama,1820
Center Point city,Alabama,16921
Centre city,Alabama,3489
Centreville city,Alabama,2778
Chatom town,Alabama,1288
Chelsea city,Alabama,10183
Cherokee town,Alabama,1048
Chickasaw city,Alabama,6106
Childersburg city,Alabama,5175
Citronelle city,Alabama,3905
Clanton city,Alabama,8619
Clay city,Alabama,9708
Clayhatchee town,Alabama,589
Clayton town,Alabama,3008
Cleveland town,Alabama,1303
Clio city,Alabama,1399
Coaling town,Alabama,1657
Coffee Springs town,Alabama,228
Coffeeville town,Alabama,352
Coker town,Alabama,979
Collinsville town,Alabama,1983
Colony town,Alabama,268
Columbia town,Alabama,740
Columbiana city,Alabama,4197
Coosada town,Alabama,1224
Cordova city,Alabama,2095
Cottonwood town,Alabama,1289
County Line town,Alabama,258
Courtland town,Alabama,609
Cowarts town,Alabama,1871
Creola city,Alabama,1926
Crossville town,Alabama,1862
Cuba town,Alabama,346
Cullman city,Alabama,14775
Cusseta town,Alabama,123
Dadeville city,Alabama,3230
Daleville city,Alabama,5295
Daphne city,Alabama,21570
Dauphin Island town,Alabama,1238
Daviston town,Alabama,214
Dayton town,Alabama,52
Deatsville town,Alabama,1154
Decatur city,Alabama,55683
Demopolis city,Alabama,7483
Detroit town,Alabama,237
Dodge City town,Alabama,593
Dora city,Alabama,2025
Dothan city,Alabama,65496
Double Springs town,Alabama,1083
Douglas town,Alabama,744
Dozier town,Alabama,329
Dutton town,Alabama,315
East Brewton city,Alabama,2478
Eclectic town,Alabama,1001
Edwardsville town,Alabama,202
Elba city,Alabama,3940
Elberta town,Alabama,1498
Eldridge town,Alabama,130
Elkmont town,Alabama,434
Elmore town,Alabama,1262
Emelle town,Alabama,53
Enterprise city,Alabama,26562
Epes town,Alabama,192
Ethelsville town,Alabama,81
Eufaula city,Alabama,13137
Eutaw town,Alabama,2934
Eva town,Alabama,519
Evergreen city,Alabama,3944
Excel town,Alabama,723
Fairfield city,Alabama,11117
Fairhope city,Alabama,15326
Fairview town,Alabama,446
Falkville town,Alabama,1279
Faunsdale town,Alabama,98
Fayette city,Alabama,4619
Five Points town,Alabama,141
Flomaton town,Alabama,1440
Florala town,Alabama,1980
Florence city,Alabama,39319
Foley city,Alabama,14618
Forkland town,Alabama,649
Fort Deposit town,Alabama,1344
Fort Payne city,Alabama,14012
Franklin town,Alabama,149
Frisco City town,Alabama,1309
Fruithurst town,Alabama,284
Fulton town,Alabama,272
Fultondale city,Alabama,8380
